"line_value","X","Y","distance_to_grid"
1,100.4569206,6.7109529,353479.353527454
1,100.4569206,6.7009529,352834.744842151
1,100.4669206,6.7009529,353736.002007708
1,100.4669206,6.6909529,353095.378001986
1,100.4669206,6.6809529,352457.095249219
1,100.4669206,6.6709529,351821.166492096
1,100.4669206,6.6609529,351187.604518437
1,100.4569206,6.6509529,349646.884697272
1,100.4669206,6.6509529,350556.422160746
1,100.4569206,6.6409529,349016.439305076
1,100.4469206,6.6309529,347476.675709134
1,100.4569206,6.6309529,348388.399663479
1,100.4469206,6.6209529,346849.393450434
1,100.4369206,6.6109529,345310.616937121
1,100.4269206,6.6009529,343772.073461899
1,100.4369206,6.6009529,344685.445098519
1,100.4269206,6.5909529,343146.709973491
1,100.4169206,6.5809529,341608.2102446
1,100.4269206,6.5809529,342522.161756504
1,100.4169206,6.5709529,340983.344667214
1,100.4069206,6.5609529,339444.194105403
1,100.4069206,6.5509529,338818.268019452
1,100.4069206,6.5409529,338194.837112893
1,100.3969206,6.5309529,336657.191457435
1,100.4069206,6.5309529,337573.915210014
1,100.3969206,6.5209529,336037.088627194
1,100.4069206,6.5109529,336339.599882175
1,100.4069206,6.5009529,335725.42165175
1,100.4069206,6.4909529,335113.778788281
1,100.4069206,6.4809529,334504.711477482
1,100.4069206,6.4709529,333898.233813641
1,100.4169206,6.4709529,334825.67830862
1,100.4169206,6.4609529,334223.496954132
1,100.4169206,6.4509529,333623.932357092
1,100.4169206,6.4409529,333026.998650734
1,100.4069206,6.4309529,331498.502983905
1,100.4169206,6.4309529,332432.710007567
1,100.4069206,6.4209529,330905.186429159
1,100.4069206,6.4109529,330314.544952631
1,100.4069206,6.4009529,329726.592929987
1,100.3969206,6.3909529,328201.432050406
1,100.4069206,6.3909529,329141.34477392
1,100.4069206,6.3809529,328558.814933295
1,100.4069206,6.3709529,327979.017892277
1,100.4069206,6.3609529,327401.968169443
1,100.4069206,6.3509529,326827.680316867
1,100.4069206,6.3409529,326256.16891919
1,100.4169206,6.3309529,326638.446477599
1,100.4169206,6.3209529,326074.199334505
1,100.4269206,6.3209529,327027.834353507
1,100.4369206,6.3109529,327424.30732106
1,100.4369206,6.3009529,326869.011251903
1,100.4369206,6.2909529,326316.556808467
1,100.4469206,6.2909529,327277.020956777
1,100.4369206,6.2809529,325766.958447741
1,100.4469206,6.2709529,326183.957146472
1,100.4569206,6.2709529,327148.588491473
1,101.8569206,6.2709529,420019.911259538
1,100.4569206,6.2609529,326607.990838998
1,101.8569206,6.2609529,419160.572931824
1,100.4569206,6.2509529,326070.286319729
1,101.8569206,6.2509529,418302.423345052
1,101.8669206,6.2509529,419006.929463225
1,100.4569206,6.2409529,325535.489269906
1,101.8669206,6.2409529,418151.431154636
1,100.4569206,6.2309529,325003.614042359
1,100.4669206,6.2309529,325975.564293123
1,101.8669206,6.2309529,417297.140216493
1,100.4669206,6.2209529,325448.222072406
1,101.8669206,6.2209529,416444.064079187
1,100.4669206,6.2109529,324923.826740848
1,101.8669206,6.2109529,415592.210223506
1,101.8769206,6.2109529,416304.297353104
1,100.4669206,6.2009529,324402.392589367
1,101.8769206,6.2009529,415455.142739054
1,125.1369206,6.2009529,504585.865567364
1,125.1469206,6.2009529,504602.453728264
1,100.4669206,6.1909529,323883.933919951
1,101.8769206,6.1909529,414607.229396289
1,125.1369206,6.1909529,503474.022273
1,100.4669206,6.1809529,323368.465044434
1,101.8769206,6.1809529,413760.564955978
1,125.1269206,6.1809529,502347.965353386
1,100.4669206,6.1709529,322856.000283257
1,101.8769206,6.1709529,412915.157100593
1,101.8869206,6.1709529,413634.866901412
1,116.2169206,6.1709529,296830.266960129
1,125.1269206,6.1709529,501236.091280375
1,100.4669206,6.1609529,322346.553964202
1,100.4769206,6.1609529,323330.400814329
1,101.8869206,6.1609529,412792.2066708
1,116.2169206,6.1609529,295748.293793384
1,116.2269206,6.1609529,295494.820790758
1,125.1269206,6.1609529,500124.217548769
1,100.4769206,6.1509529,322825.547830017
1,101.8769206,6.1509529,411228.14213276
1,102.1569206,6.1509529,432080.773219585
1,102.1669206,6.1509529,432848.057884067
1,102.3169206,6.1509529,444529.852112647
1,102.3269206,6.1509529,445319.798061471
1,102.3369206,6.1509529,446111.097235467
1,116.2269206,6.1509529,294412.135210872
1,116.2369206,6.1509529,294161.679091883
1,125.1169206,6.1509529,499000.49907132
1,125.1269206,6.1509529,499012.344160848
1,100.4769206,6.1409529,322323.737505954
1,101.8769206,6.1409529,410386.550644413
1,102.1569206,6.1409529,431280.200352022
1,102.3169206,6.1409529,443751.935397341
1,102.3369206,6.1409529,445335.967890455
1,116.2269206,6.1409529,293329.668432989
1,116.2369206,6.1409529,293078.283201674
1,125.1069206,6.1409529,497879.198046873
1,125.1169206,6.1409529,497888.599408155
1,100.4769206,6.1309529,321824.984075087
1,101.8769206,6.1309529,409546.246989777
1,102.1369206,6.1309529,428945.136080045
1,102.1469206,6.1309529,429712.330037831
1,102.1569206,6.1309529,430481.00874742
1,102.3069206,6.1309529,442184.058603076
1,102.3169206,6.1309529,442975.44146672
1,102.3369206,6.1309529,444562.265956794
1,102.3469206,6.1309529,445357.693121382
1,116.2269206,6.1309529,292247.422888396
1,125.0969206,6.1309529,496760.330952017
1,125.1069206,6.1309529,496767.277436329
1,100.4869206,6.1209529,322320.123462012
1,101.8769206,6.1209529,408707.239112236
1,101.8869206,6.1209529,409434.403672167
1,102.1269206,6.1209529,427377.299007299
1,102.1369206,6.1209529,428144.446985686
1,102.2969206,6.1209529,440616.167709988
1,102.3369206,6.1209529,443789.998900131
1,102.3469206,6.1209529,444586.820428597
1,116.2269206,6.1209529,291165.401044032
1,125.0969206,6.1209529,495648.394795238
1,100.4869206,6.1109529,321829.060334957
1,101.8869206,6.1109529,408598.201966126
1,102.1169206,6.1109529,425809.449664477
1,102.2869206,6.1109529,439048.262749491
1,102.2969206,6.1109529,439839.730175994
1,102.3369206,6.1109529,443019.174224278
1,116.2269206,6.1109529,290083.605403124
1,125.0869206,6.1109529,494531.968148285
1,125.0969206,6.1109529,494536.458705125
1,100.4869206,6.1009529,321341.09189099
1,101.8869206,6.1009529,407763.315886979
1,101.8969206,6.1009529,408495.189560409
1,102.1069206,6.1009529,424241.588100965
1,102.1169206,6.1009529,425008.642845789
1,102.2569206,6.1009529,435901.462096021
1,102.2969206,6.1009529,439064.733368424
