"Country.Name","Year","Electricity_Consumption","Population","Total_Electricity_Demand"
"Indonesia",1971,14.2383849995686,118833702,1.69200000000001
"Indonesia",1972,15.7653433848705,122039841,1.924
"Indonesia",1973,15.6837999077569,125288515,1.965
"Indonesia",1974,19.0190902270697,128555045,2.44500000000001
"Indonesia",1975,21.2599984187355,131843848,2.803
"Indonesia",1976,18.169220918085,135173655,2.456
"Indonesia",1977,21.5326914945457,138533541,2.983
"Indonesia",1978,31.4610812863677,141953163,4.466
"Indonesia",1979,38.3058160605457,145434834,5.571
"Indonesia",1980,45.7064472542362,148950540,6.808
"Indonesia",1981,51.7493405172514,152485035,7.891
"Indonesia",1982,60.8065949644834,156052152,9.489
"Indonesia",1983,65.4175362253835,159651381,10.444
"Indonesia",1984,70.688640404093,163251124,11.54
"Indonesia",1985,78.9021526065007,166776185,13.159
"Indonesia",1986,91.0826741861388,170175065,15.5
"Indonesia",1987,103.26713635943,173511154,17.9180000000001
"Indonesia",1988,118.266332943306,176855065,20.916
"Indonesia",1989,135.992110615204,180201630,24.5060000000001
"Indonesia",1990,160.674787896909,183501098,29.4839999999999
"Indonesia",1991,175.871666591051,186778238,32.849
"Indonesia",1992,191.976853497477,190043744,36.484
"Indonesia",1993,210.149580687879,193305168,40.623
"Indonesia",1994,236.779933701008,196591828,46.549
"Indonesia",1995,259.725372186693,199888057,51.9159999999999
"Indonesia",1996,292.37071246133,203204348,59.411
"Indonesia",1997,325.347489502985,206536095,67.196
"Indonesia",1998,324.639197164854,209826788,68.118
"Indonesia",1999,349.663698450026,213004668,74.4799999999999
"Indonesia",2000,382.177177950589,216077790,82.58
"Indonesia",2001,402.696690358998,219097902,88.2300000000001
"Indonesia",2002,408.602885980203,222088495,90.7459999999999
"Indonesia",2003,419.825977753156,225048008,94.4810000000001
"Indonesia",2004,464.715295314152,227926649,105.921
"Indonesia",2005,490.714212853765,230871650,113.292
"Indonesia",2006,505.813910645093,233951652,118.336
"Indonesia",2007,535.352859530782,237062337,126.912
"Indonesia",2008,558.932262162532,240157903,134.232
"Indonesia",2009,582.711058646864,243220028,141.727
"Indonesia",2010,624.440425205266,246305322,153.803
"Indonesia",2011,668.408941399422,249470032,166.748
"Indonesia",2012,721.048925790129,252698525,182.208
"Indonesia",2013,761.747589480933,255852467,194.895
"Indonesia",2014,800.150962579781,258877399,207.141
"Indonesia",2015,910,261799249,238.23731659
"Indonesia",2016,956,264627418,252.983811608
"Indonesia",2017,1021,267346658,272.960937818
"Indonesia",2018,1064,269951846,287.228764144
"Indonesia",2019,1084,272489381,295.378489004
